Total parameters: 2393
torch.sum(mse).item()=39055.1484375
Step 0, Loss: 2.0574
Step 1000, Loss: 1.1581
Step 2000, Loss: 0.2123
Step 3000, Loss: 0.3754
Step 4000, Loss: 0.1208
Step 5000, Loss: 0.1372
Step 6000, Loss: 0.0958
Step 7000, Loss: 0.1084
Step 8000, Loss: 0.0771
Step 9000, Loss: 0.0654
Step 10000, Loss: 0.0455
Step 11000, Loss: 0.0480
Step 12000, Loss: 0.0614
Step 13000, Loss: 0.0446
Step 14000, Loss: 0.0820
Step 15000, Loss: 0.0563
Step 16000, Loss: 0.0655
Step 17000, Loss: 0.0625
Step 18000, Loss: 0.0625
Step 19000, Loss: 0.0409
Step 20000, Loss: 0.0493
Step 21000, Loss: 0.0536
Step 22000, Loss: 0.0473
Step 23000, Loss: 0.0584
Step 24000, Loss: 0.0558
Step 25000, Loss: 0.0575
Step 26000, Loss: 0.0467
Step 27000, Loss: 0.0407
Step 28000, Loss: 0.0666
Step 29000, Loss: 0.0482
Step 30000, Loss: 0.0367
