Total parameters: 2221
torch.sum(mse).item()=28902.6171875
Step 0, Loss: 3.0424
Step 1000, Loss: 1.2464
Step 2000, Loss: 0.5696
Step 3000, Loss: 0.2092
Step 4000, Loss: 0.2343
Step 5000, Loss: 0.2202
Step 6000, Loss: 0.1774
Step 7000, Loss: 0.1347
Step 8000, Loss: 0.1222
Step 9000, Loss: 0.0669
Step 10000, Loss: 0.1401
Step 11000, Loss: 0.0792
Step 12000, Loss: 0.1160
Step 13000, Loss: 0.0355
Step 14000, Loss: 0.0787
Step 15000, Loss: 0.0913
Step 16000, Loss: 0.0731
Step 17000, Loss: 0.0692
Step 18000, Loss: 0.0896
Step 19000, Loss: 0.0722
Step 20000, Loss: 0.1087
Step 21000, Loss: 0.0563
Step 22000, Loss: 0.1059
Step 23000, Loss: 0.0586
Step 24000, Loss: 0.0363
Step 25000, Loss: 0.0518
Step 26000, Loss: 0.0399
Step 27000, Loss: 0.0594
Step 28000, Loss: 0.0503
Step 29000, Loss: 0.1015
Step 30000, Loss: 0.0479
