Total parameters: 2221
torch.sum(mse).item()=36705.26171875
Step 0, Loss: 3.8636
Step 1000, Loss: 2.9682
Step 2000, Loss: 0.5496
Step 3000, Loss: 0.1574
Step 4000, Loss: 0.1125
Step 5000, Loss: 0.0770
Step 6000, Loss: 0.1219
Step 7000, Loss: 0.0837
Step 8000, Loss: 0.1008
Step 9000, Loss: 0.1507
Step 10000, Loss: 0.0434
Step 11000, Loss: 0.0920
Step 12000, Loss: 0.0999
Step 13000, Loss: 0.0616
Step 14000, Loss: 0.0518
Step 15000, Loss: 0.1028
Step 16000, Loss: 0.0796
Step 17000, Loss: 0.0581
Step 18000, Loss: 0.1148
Step 19000, Loss: 0.0753
Step 20000, Loss: 0.0665
Step 21000, Loss: 0.0657
Step 22000, Loss: 0.0663
Step 23000, Loss: 0.0537
Step 24000, Loss: 0.0724
Step 25000, Loss: 0.1608
Step 26000, Loss: 0.1031
Step 27000, Loss: 0.0767
Step 28000, Loss: 0.0868
Step 29000, Loss: 0.0794
Step 30000, Loss: 0.0511
Step 31000, Loss: 0.0739
Step 32000, Loss: 0.0711
Step 33000, Loss: 0.0585
Step 34000, Loss: 0.0478
Step 35000, Loss: 0.0899
Step 36000, Loss: 0.0994
Step 37000, Loss: 0.0921
Step 38000, Loss: 0.0566
Step 39000, Loss: 0.0395
Step 40000, Loss: 0.0586
Step 41000, Loss: 0.0646
Step 42000, Loss: 0.0446
Step 43000, Loss: 0.0852
Step 44000, Loss: 0.0423
Step 45000, Loss: 0.0392
Step 46000, Loss: 0.0380
Step 47000, Loss: 0.0486
Step 48000, Loss: 0.0677
Step 49000, Loss: 0.0982
Step 50000, Loss: 0.0652
