Total parameters: 2221
torch.sum(mse).item()=35181.4921875
Step 0, Loss: 3.7033
Step 1000, Loss: 1.1610
Step 2000, Loss: 0.1585
Step 3000, Loss: 0.0866
Step 4000, Loss: 0.0885
Step 5000, Loss: 0.0978
Step 6000, Loss: 0.1692
Step 7000, Loss: 0.1145
Step 8000, Loss: 0.0761
Step 9000, Loss: 0.1835
Step 10000, Loss: 0.0400
Step 11000, Loss: 0.1010
Step 12000, Loss: 0.0905
Step 13000, Loss: 0.0644
Step 14000, Loss: 0.1257
Step 15000, Loss: 0.0839
Step 16000, Loss: 0.0563
Step 17000, Loss: 0.0381
Step 18000, Loss: 0.0512
Step 19000, Loss: 0.0630
Step 20000, Loss: 0.0957
Step 21000, Loss: 0.0447
Step 22000, Loss: 0.0479
Step 23000, Loss: 0.0353
Step 24000, Loss: 0.0459
Step 25000, Loss: 0.0514
Step 26000, Loss: 0.1046
Step 27000, Loss: 0.0883
Step 28000, Loss: 0.0834
Step 29000, Loss: 0.0837
Step 30000, Loss: 0.0366
