Total parameters: 2221
torch.sum(mse).item()=44537.15234375
Step 0, Loss: 4.6882
Step 1000, Loss: 0.6848
Step 2000, Loss: 0.3489
Step 3000, Loss: 0.3480
Step 4000, Loss: 0.1452
Step 5000, Loss: 0.2563
Step 6000, Loss: 0.1699
Step 7000, Loss: 0.0968
Step 8000, Loss: 0.1448
Step 9000, Loss: 0.0476
Step 10000, Loss: 0.0698
Step 11000, Loss: 0.0702
Step 12000, Loss: 0.0886
Step 13000, Loss: 0.0870
Step 14000, Loss: 0.0899
Step 15000, Loss: 0.0533
Step 16000, Loss: 0.0482
Step 17000, Loss: 0.0725
Step 18000, Loss: 0.0556
Step 19000, Loss: 0.0414
Step 20000, Loss: 0.0526
Step 21000, Loss: 0.0526
Step 22000, Loss: 0.1219
Step 23000, Loss: 0.0448
Step 24000, Loss: 0.0683
Step 25000, Loss: 0.1288
Step 26000, Loss: 0.0855
Step 27000, Loss: 0.0545
Step 28000, Loss: 0.0766
Step 29000, Loss: 0.0915
Step 30000, Loss: 0.0808
