Total parameters: 2221
torch.sum(mse).item()=39570.46875
Step 0, Loss: 4.1653
Step 1000, Loss: 0.4443
Step 2000, Loss: 0.1748
Step 3000, Loss: 0.1902
Step 4000, Loss: 0.1141
Step 5000, Loss: 0.1198
Step 6000, Loss: 0.1171
Step 7000, Loss: 0.1338
Step 8000, Loss: 0.0633
Step 9000, Loss: 0.0628
Step 10000, Loss: 0.0907
Step 11000, Loss: 0.1199
Step 12000, Loss: 0.0671
Step 13000, Loss: 0.0443
Step 14000, Loss: 0.1114
Step 15000, Loss: 0.0549
Step 16000, Loss: 0.0497
Step 17000, Loss: 0.0427
Step 18000, Loss: 0.0314
Step 19000, Loss: 0.0519
Step 20000, Loss: 0.0407
Step 21000, Loss: 0.0738
Step 22000, Loss: 0.0832
Step 23000, Loss: 0.1217
Step 24000, Loss: 0.1050
Step 25000, Loss: 0.0904
Step 26000, Loss: 0.0571
Step 27000, Loss: 0.0820
Step 28000, Loss: 0.0800
Step 29000, Loss: 0.0932
Step 30000, Loss: 0.0447
