Total parameters: 2221
torch.sum(mse).item()=36327.484375
Step 0, Loss: 3.8241
Step 1000, Loss: 0.7543
Step 2000, Loss: 0.1263
Step 3000, Loss: 0.0747
Step 4000, Loss: 0.1098
Step 5000, Loss: 0.0703
Step 6000, Loss: 0.2352
Step 7000, Loss: 0.1478
Step 8000, Loss: 0.0928
Step 9000, Loss: 0.1887
Step 10000, Loss: 0.0485
Step 11000, Loss: 0.1060
Step 12000, Loss: 0.1146
Step 13000, Loss: 0.0556
Step 14000, Loss: 0.0855
Step 15000, Loss: 0.0563
Step 16000, Loss: 0.0889
Step 17000, Loss: 0.0729
Step 18000, Loss: 0.0506
Step 19000, Loss: 0.0566
Step 20000, Loss: 0.0799
Step 21000, Loss: 0.0442
Step 22000, Loss: 0.0904
Step 23000, Loss: 0.0507
Step 24000, Loss: 0.0635
Step 25000, Loss: 0.1899
Step 26000, Loss: 0.0486
Step 27000, Loss: 0.0752
Step 28000, Loss: 0.1397
Step 29000, Loss: 0.0560
Step 30000, Loss: 0.0712
