Total parameters: 2221
torch.sum(mse).item()=34693.55859375
torch.sum(mse).item()=34693.453125
torch.sum(mse).item()=34693.34375
torch.sum(mse).item()=34693.234375
torch.sum(mse).item()=34693.12890625
Step 0, Loss: 3.6520
Step 1000, Loss: 0.2042
Step 2000, Loss: 0.0352
Step 3000, Loss: 0.0207
Step 4000, Loss: 0.0166
Step 5000, Loss: 0.0282
Step 6000, Loss: 0.0371
Step 7000, Loss: 0.0454
Step 8000, Loss: 0.0187
Step 9000, Loss: 0.0291
Step 10000, Loss: 0.0170
Step 11000, Loss: 0.0177
Step 12000, Loss: 0.0270
Step 13000, Loss: 0.0160
Step 14000, Loss: 0.0116
Step 15000, Loss: 0.0147
Step 16000, Loss: 0.0168
Step 17000, Loss: 0.0106
Step 18000, Loss: 0.0116
Step 19000, Loss: 0.0107
Step 20000, Loss: 0.0113
Step 21000, Loss: 0.0115
Step 22000, Loss: 0.0222
Step 23000, Loss: 0.0147
Step 24000, Loss: 0.0316
Step 25000, Loss: 0.0413
Step 26000, Loss: 0.0238
Step 27000, Loss: 0.0146
Step 28000, Loss: 0.0123
Step 29000, Loss: 0.0136
Step 30000, Loss: 0.0208
