Total parameters: 2221
torch.sum(mse).item()=34531.4609375
Step 0, Loss: 3.6349
Step 1000, Loss: 0.9522
Step 2000, Loss: 0.1695
Step 3000, Loss: 0.0981
Step 4000, Loss: 0.1213
Step 5000, Loss: 0.0651
Step 6000, Loss: 0.1872
Step 7000, Loss: 0.1358
Step 8000, Loss: 0.0849
Step 9000, Loss: 0.1122
Step 10000, Loss: 0.0753
Step 11000, Loss: 0.0903
Step 12000, Loss: 0.1038
Step 13000, Loss: 0.0687
Step 14000, Loss: 0.0599
Step 15000, Loss: 0.0669
Step 16000, Loss: 0.0825
Step 17000, Loss: 0.0528
Step 18000, Loss: 0.2711
Step 19000, Loss: 0.0483
Step 20000, Loss: 0.0888
Step 21000, Loss: 0.0761
Step 22000, Loss: 0.2961
Step 23000, Loss: 0.1089
Step 24000, Loss: 0.0567
Step 25000, Loss: 0.1316
Step 26000, Loss: 0.0717
Step 27000, Loss: 0.1056
Step 28000, Loss: 0.0601
Step 29000, Loss: 0.0681
Step 30000, Loss: 0.0450
