Total parameters: 2221
torch.sum(mse).item()=35287.34375
Step 0, Loss: 3.7144
Step 1000, Loss: 0.6072
Step 2000, Loss: 0.2611
Step 3000, Loss: 0.1478
Step 4000, Loss: 0.1238
Step 5000, Loss: 0.0864
Step 6000, Loss: 0.0846
Step 7000, Loss: 0.0793
Step 8000, Loss: 0.0870
Step 9000, Loss: 0.1156
Step 10000, Loss: 0.0469
Step 11000, Loss: 0.0968
Step 12000, Loss: 0.0728
Step 13000, Loss: 0.0818
Step 14000, Loss: 0.1275
Step 15000, Loss: 0.0917
Step 16000, Loss: 0.1069
Step 17000, Loss: 0.0357
Step 18000, Loss: 0.1270
Step 19000, Loss: 0.0744
Step 20000, Loss: 0.0632
Step 21000, Loss: 0.0682
Step 22000, Loss: 0.1613
Step 23000, Loss: 0.0762
Step 24000, Loss: 0.0504
Step 25000, Loss: 0.0491
Step 26000, Loss: 0.1142
Step 27000, Loss: 0.1399
Step 28000, Loss: 0.0476
Step 29000, Loss: 0.0602
Step 30000, Loss: 0.1048
