Total parameters: 2221
torch.sum(mse).item()=35985.5234375
Step 0, Loss: 3.7879
Step 1000, Loss: 2.0524
Step 2000, Loss: 0.4467
Step 3000, Loss: 0.1224
Step 4000, Loss: 0.0893
Step 5000, Loss: 0.0488
Step 6000, Loss: 0.2403
Step 7000, Loss: 0.1068
Step 8000, Loss: 0.0837
Step 9000, Loss: 0.1375
Step 10000, Loss: 0.0407
Step 11000, Loss: 0.1119
Step 12000, Loss: 0.0983
Step 13000, Loss: 0.0830
Step 14000, Loss: 0.0717
Step 15000, Loss: 0.0747
Step 16000, Loss: 0.0706
Step 17000, Loss: 0.0890
Step 18000, Loss: 0.0540
Step 19000, Loss: 0.0618
Step 20000, Loss: 0.0838
Step 21000, Loss: 0.0392
Step 22000, Loss: 0.0603
Step 23000, Loss: 0.0562
Step 24000, Loss: 0.0453
Step 25000, Loss: 0.0681
Step 26000, Loss: 0.0874
Step 27000, Loss: 0.0739
Step 28000, Loss: 0.1234
Step 29000, Loss: 0.0914
Step 30000, Loss: 0.0656
