Total parameters: 2221
torch.sum(mse).item()=37097.6796875
Step 0, Loss: 3.9051
Step 1000, Loss: 0.8072
Step 2000, Loss: 0.1372
Step 3000, Loss: 0.0701
Step 4000, Loss: 0.0937
Step 5000, Loss: 0.0551
Step 6000, Loss: 0.1586
Step 7000, Loss: 0.0976
Step 8000, Loss: 0.0795
Step 9000, Loss: 0.1403
Step 10000, Loss: 0.0458
Step 11000, Loss: 0.1123
Step 12000, Loss: 0.0739
Step 13000, Loss: 0.0580
Step 14000, Loss: 0.1216
Step 15000, Loss: 0.0849
Step 16000, Loss: 0.0851
Step 17000, Loss: 0.0521
Step 18000, Loss: 0.0853
Step 19000, Loss: 0.0759
Step 20000, Loss: 0.1090
Step 21000, Loss: 0.0601
Step 22000, Loss: 0.1949
Step 23000, Loss: 0.0513
Step 24000, Loss: 0.0572
Step 25000, Loss: 0.0838
Step 26000, Loss: 0.1014
Step 27000, Loss: 0.1078
Step 28000, Loss: 0.0719
Step 29000, Loss: 0.0813
Step 30000, Loss: 0.0635
