Total parameters: 2221
torch.sum(mse).item()=36831.015625
Step 0, Loss: 3.8769
Step 1000, Loss: 2.6979
Step 2000, Loss: 0.5599
Step 3000, Loss: 0.2355
Step 4000, Loss: 0.2551
Step 5000, Loss: 0.1346
Step 6000, Loss: 0.1720
Step 7000, Loss: 0.1193
Step 8000, Loss: 0.0550
Step 9000, Loss: 0.0631
Step 10000, Loss: 0.0348
Step 11000, Loss: 0.0960
Step 12000, Loss: 0.0896
Step 13000, Loss: 0.0652
Step 14000, Loss: 0.0740
Step 15000, Loss: 0.0584
Step 16000, Loss: 0.0540
Step 17000, Loss: 0.0694
Step 18000, Loss: 0.0413
Step 19000, Loss: 0.0435
Step 20000, Loss: 0.0682
Step 21000, Loss: 0.0311
Step 22000, Loss: 0.0909
Step 23000, Loss: 0.0424
Step 24000, Loss: 0.0478
Step 25000, Loss: 0.0608
Step 26000, Loss: 0.0620
Step 27000, Loss: 0.0621
Step 28000, Loss: 0.1072
Step 29000, Loss: 0.0749
Step 30000, Loss: 0.0683
