Total parameters: 2221
torch.sum(mse).item()=34736.87890625
Step 0, Loss: 3.6565
Step 1000, Loss: 0.5919
Step 2000, Loss: 0.1292
Step 3000, Loss: 0.0763
Step 4000, Loss: 0.1012
Step 5000, Loss: 0.1292
Step 6000, Loss: 0.1291
Step 7000, Loss: 0.0921
Step 8000, Loss: 0.0736
Step 9000, Loss: 0.0937
Step 10000, Loss: 0.0634
Step 11000, Loss: 0.0895
Step 12000, Loss: 0.0815
Step 13000, Loss: 0.0580
Step 14000, Loss: 0.0773
Step 15000, Loss: 0.0759
Step 16000, Loss: 0.0891
Step 17000, Loss: 0.0662
Step 18000, Loss: 0.0424
Step 19000, Loss: 0.0511
Step 20000, Loss: 0.0755
Step 21000, Loss: 0.0666
Step 22000, Loss: 0.0987
Step 23000, Loss: 0.0603
Step 24000, Loss: 0.0274
Step 25000, Loss: 0.0873
Step 26000, Loss: 0.1062
Step 27000, Loss: 0.1093
Step 28000, Loss: 0.1166
Step 29000, Loss: 0.1204
Step 30000, Loss: 0.0646
