Total parameters: 2221
torch.sum(mse).item()=36009.54296875
Step 0, Loss: 3.7905
Step 1000, Loss: 0.8937
Step 2000, Loss: 0.3587
Step 3000, Loss: 0.2014
Step 4000, Loss: 0.1567
Step 5000, Loss: 0.1515
Step 6000, Loss: 0.1069
Step 7000, Loss: 0.0984
Step 8000, Loss: 0.0832
Step 9000, Loss: 0.0687
Step 10000, Loss: 0.0491
Step 11000, Loss: 0.0891
Step 12000, Loss: 0.0774
Step 13000, Loss: 0.0627
Step 14000, Loss: 0.0735
Step 15000, Loss: 0.0774
Step 16000, Loss: 0.1177
Step 17000, Loss: 0.0901
Step 18000, Loss: 0.0616
Step 19000, Loss: 0.0796
Step 20000, Loss: 0.1127
Step 21000, Loss: 0.0752
Step 22000, Loss: 0.0450
Step 23000, Loss: 0.0498
Step 24000, Loss: 0.0573
Step 25000, Loss: 0.0958
Step 26000, Loss: 0.1232
Step 27000, Loss: 0.0601
Step 28000, Loss: 0.1018
Step 29000, Loss: 0.0574
Step 30000, Loss: 0.0633
