Total parameters: 2221
torch.sum(mse).item()=34928.09765625
Step 0, Loss: 3.6767
Step 1000, Loss: 0.7947
Step 2000, Loss: 0.3233
Step 3000, Loss: 0.1730
Step 4000, Loss: 0.1883
Step 5000, Loss: 0.1145
Step 6000, Loss: 0.0943
Step 7000, Loss: 0.0996
Step 8000, Loss: 0.0597
Step 9000, Loss: 0.0845
Step 10000, Loss: 0.0417
Step 11000, Loss: 0.0801
Step 12000, Loss: 0.0572
Step 13000, Loss: 0.0470
Step 14000, Loss: 0.0599
Step 15000, Loss: 0.0544
Step 16000, Loss: 0.0428
Step 17000, Loss: 0.0491
Step 18000, Loss: 0.0384
Step 19000, Loss: 0.0489
Step 20000, Loss: 0.0548
Step 21000, Loss: 0.0427
Step 22000, Loss: 0.0578
Step 23000, Loss: 0.0311
Step 24000, Loss: 0.0379
Step 25000, Loss: 0.0340
Step 26000, Loss: 0.0469
Step 27000, Loss: 0.0456
Step 28000, Loss: 0.0518
Step 29000, Loss: 0.0538
Step 30000, Loss: 0.0392
