Total parameters: 2221
torch.sum(mse).item()=34582.5703125
Step 0, Loss: 3.6402
Step 1000, Loss: 0.6629
Step 2000, Loss: 0.2697
Step 3000, Loss: 0.0917
Step 4000, Loss: 0.0848
Step 5000, Loss: 0.0874
Step 6000, Loss: 0.1780
Step 7000, Loss: 0.1005
Step 8000, Loss: 0.1232
Step 9000, Loss: 0.0850
Step 10000, Loss: 0.0482
Step 11000, Loss: 0.1206
Step 12000, Loss: 0.0839
Step 13000, Loss: 0.0728
Step 14000, Loss: 0.0629
Step 15000, Loss: 0.0774
Step 16000, Loss: 0.0919
Step 17000, Loss: 0.0992
Step 18000, Loss: 0.0453
Step 19000, Loss: 0.0443
Step 20000, Loss: 0.1015
Step 21000, Loss: 0.0545
Step 22000, Loss: 0.0340
Step 23000, Loss: 0.0518
Step 24000, Loss: 0.0596
Step 25000, Loss: 0.0642
Step 26000, Loss: 0.0661
Step 27000, Loss: 0.0690
Step 28000, Loss: 0.0891
Step 29000, Loss: 0.0877
Step 30000, Loss: 0.0822
