Total parameters: 2221
torch.sum(mse).item()=34922.9453125
Step 0, Loss: 3.6761
Step 1000, Loss: 0.3699
Step 2000, Loss: 0.2227
Step 3000, Loss: 0.1475
Step 4000, Loss: 0.1119
Step 5000, Loss: 0.0585
Step 6000, Loss: 0.2184
Step 7000, Loss: 0.1123
Step 8000, Loss: 0.0662
Step 9000, Loss: 0.1797
Step 10000, Loss: 0.0575
Step 11000, Loss: 0.0960
Step 12000, Loss: 0.0901
Step 13000, Loss: 0.0399
Step 14000, Loss: 0.0892
Step 15000, Loss: 0.0803
Step 16000, Loss: 0.0888
Step 17000, Loss: 0.0564
Step 18000, Loss: 0.0433
Step 19000, Loss: 0.0337
Step 20000, Loss: 0.0723
Step 21000, Loss: 0.0502
Step 22000, Loss: 0.0869
Step 23000, Loss: 0.0420
Step 24000, Loss: 0.0504
Step 25000, Loss: 0.0630
Step 26000, Loss: 0.0610
Step 27000, Loss: 0.0332
Step 28000, Loss: 0.0562
Step 29000, Loss: 0.0516
Step 30000, Loss: 0.0410
