Total parameters: 2221
torch.sum(mse).item()=34569.078125
Step 0, Loss: 3.6389
Step 1000, Loss: 1.4949
Step 2000, Loss: 0.3964
Step 3000, Loss: 0.0950
Step 4000, Loss: 0.1193
Step 5000, Loss: 0.0815
Step 6000, Loss: 0.1658
Step 7000, Loss: 0.0816
Step 8000, Loss: 0.0988
Step 9000, Loss: 0.0780
Step 10000, Loss: 0.0517
Step 11000, Loss: 0.1203
Step 12000, Loss: 0.1163
Step 13000, Loss: 0.0894
Step 14000, Loss: 0.0888
Step 15000, Loss: 0.0909
Step 16000, Loss: 0.0977
Step 17000, Loss: 0.0591
Step 18000, Loss: 0.0628
Step 19000, Loss: 0.0693
Step 20000, Loss: 0.0886
Step 21000, Loss: 0.0700
Step 22000, Loss: 0.1187
Step 23000, Loss: 0.0857
Step 24000, Loss: 0.0573
Step 25000, Loss: 0.1333
Step 26000, Loss: 0.1637
Step 27000, Loss: 0.1078
Step 28000, Loss: 0.1168
Step 29000, Loss: 0.0685
Step 30000, Loss: 0.1114
