Total parameters: 2221
torch.sum(mse).item()=34657.33984375
Step 0, Loss: 3.6481
Step 1000, Loss: 0.4027
Step 2000, Loss: 0.1133
Step 3000, Loss: 0.1011
Step 4000, Loss: 0.0616
Step 5000, Loss: 0.0383
Step 6000, Loss: 0.0938
Step 7000, Loss: 0.1008
Step 8000, Loss: 0.0552
Step 9000, Loss: 0.1890
Step 10000, Loss: 0.0645
Step 11000, Loss: 0.0660
Step 12000, Loss: 0.1100
Step 13000, Loss: 0.0525
Step 14000, Loss: 0.0529
Step 15000, Loss: 0.0754
Step 16000, Loss: 0.0719
Step 17000, Loss: 0.0498
Step 18000, Loss: 0.0816
Step 19000, Loss: 0.0463
Step 20000, Loss: 0.0839
Step 21000, Loss: 0.0468
Step 22000, Loss: 0.0703
Step 23000, Loss: 0.0964
Step 24000, Loss: 0.1261
Step 25000, Loss: 0.0696
Step 26000, Loss: 0.0804
Step 27000, Loss: 0.0896
Step 28000, Loss: 0.0309
Step 29000, Loss: 0.0584
Step 30000, Loss: 0.0576
