Total parameters: 2221
torch.sum(mse).item()=35610.25
Step 0, Loss: 3.7484
Step 1000, Loss: 2.2953
Step 2000, Loss: 0.2279
Step 3000, Loss: 0.1054
Step 4000, Loss: 0.2395
Step 5000, Loss: 0.1511
Step 6000, Loss: 0.2365
Step 7000, Loss: 0.0934
Step 8000, Loss: 0.0821
Step 9000, Loss: 0.1140
Step 10000, Loss: 0.0391
Step 11000, Loss: 0.0584
Step 12000, Loss: 0.0742
Step 13000, Loss: 0.0731
Step 14000, Loss: 0.0787
Step 15000, Loss: 0.0507
Step 16000, Loss: 0.1421
Step 17000, Loss: 0.0547
Step 18000, Loss: 0.1042
Step 19000, Loss: 0.0649
Step 20000, Loss: 0.0542
Step 21000, Loss: 0.0406
Step 22000, Loss: 0.0616
Step 23000, Loss: 0.0559
Step 24000, Loss: 0.0385
Step 25000, Loss: 0.0915
Step 26000, Loss: 0.1209
Step 27000, Loss: 0.0690
Step 28000, Loss: 0.0886
Step 29000, Loss: 0.0353
Step 30000, Loss: 0.0654
