Total parameters: 838
torch.sum(mse).item()=36063.546875
Step 0, Loss: 3.7961
Step 1000, Loss: 2.5205
Step 2000, Loss: 0.6024
Step 3000, Loss: 0.3162
Step 4000, Loss: 0.2196
Step 5000, Loss: 0.1898
Step 6000, Loss: 0.1803
Step 7000, Loss: 0.2210
Step 8000, Loss: 0.1667
Step 9000, Loss: 0.1774
Step 10000, Loss: 0.0867
Step 11000, Loss: 0.1376
Step 12000, Loss: 0.1051
Step 13000, Loss: 0.0827
Step 14000, Loss: 0.1229
Step 15000, Loss: 0.0859
Step 16000, Loss: 0.0812
Step 17000, Loss: 0.0708
Step 18000, Loss: 0.0646
Step 19000, Loss: 0.0975
Step 20000, Loss: 0.0876
Step 21000, Loss: 0.0885
Step 22000, Loss: 0.0512
Step 23000, Loss: 0.0538
Step 24000, Loss: 0.0988
Step 25000, Loss: 0.1042
Step 26000, Loss: 0.0977
Step 27000, Loss: 0.0956
Step 28000, Loss: 0.1168
Step 29000, Loss: 0.1053
Step 30000, Loss: 0.0962
