Total parameters: 2221
torch.sum(mse).item()=34781.15625
Step 0, Loss: 3.6612
Step 1000, Loss: 1.3635
Step 2000, Loss: 0.4297
Step 3000, Loss: 0.2104
Step 4000, Loss: 0.1141
Step 5000, Loss: 0.0585
Step 6000, Loss: 0.1872
Step 7000, Loss: 0.1316
Step 8000, Loss: 0.1131
Step 9000, Loss: 0.1509
Step 10000, Loss: 0.0847
Step 11000, Loss: 0.1114
Step 12000, Loss: 0.1462
Step 13000, Loss: 0.0851
Step 14000, Loss: 0.0708
Step 15000, Loss: 0.0570
Step 16000, Loss: 0.0780
Step 17000, Loss: 0.0791
Step 18000, Loss: 0.0441
Step 19000, Loss: 0.0629
Step 20000, Loss: 0.1040
Step 21000, Loss: 0.0436
Step 22000, Loss: 0.0644
Step 23000, Loss: 0.0421
Step 24000, Loss: 0.0485
Step 25000, Loss: 0.0603
Step 26000, Loss: 0.1041
Step 27000, Loss: 0.0783
Step 28000, Loss: 0.0995
Step 29000, Loss: 0.0556
Step 30000, Loss: 0.0716
