Total parameters: 1446
torch.sum(mse).item()=35892.40234375
Step 0, Loss: 3.7783
Step 1000, Loss: 1.2673
Step 2000, Loss: 0.4655
Step 3000, Loss: 0.2274
Step 4000, Loss: 0.1935
Step 5000, Loss: 0.1285
Step 6000, Loss: 0.2365
Step 7000, Loss: 0.2539
Step 8000, Loss: 0.2466
Step 9000, Loss: 0.2406
Step 10000, Loss: 0.2001
Step 11000, Loss: 0.2285
Step 12000, Loss: 0.2394
Step 13000, Loss: 0.2224
Step 14000, Loss: 0.1737
Step 15000, Loss: 0.1592
Step 16000, Loss: 0.1780
Step 17000, Loss: 0.1524
Step 18000, Loss: 0.2508
Step 19000, Loss: 0.2889
Step 20000, Loss: 0.1625
Step 21000, Loss: 0.2643
Step 22000, Loss: 0.1474
Step 23000, Loss: 0.2706
Step 24000, Loss: 0.1570
Step 25000, Loss: 0.1788
Step 26000, Loss: 0.3034
Step 27000, Loss: 0.1793
Step 28000, Loss: 0.1691
Step 29000, Loss: 0.2477
Step 30000, Loss: 0.1470
