Total parameters: 1446
torch.sum(mse).item()=34212.9453125
Step 0, Loss: 3.6014
Step 1000, Loss: 0.8193
Step 2000, Loss: 0.7939
Step 3000, Loss: 0.7421
Step 4000, Loss: 0.5048
Step 5000, Loss: 0.5178
Step 6000, Loss: 0.5243
Step 7000, Loss: 0.2689
Step 8000, Loss: 0.1520
Step 9000, Loss: 0.1622
Step 10000, Loss: 0.0939
Step 11000, Loss: 0.1687
Step 12000, Loss: 0.1310
Step 13000, Loss: 0.1889
Step 14000, Loss: 0.2198
Step 15000, Loss: 0.1413
Step 16000, Loss: 0.1561
Step 17000, Loss: 0.1403
Step 18000, Loss: 0.2418
Step 19000, Loss: 0.3134
Step 20000, Loss: 0.2212
Step 21000, Loss: 0.1455
Step 22000, Loss: 0.1749
Step 23000, Loss: 0.2029
Step 24000, Loss: 0.2497
Step 25000, Loss: 0.1808
Step 26000, Loss: 0.1812
Step 27000, Loss: 0.2304
Step 28000, Loss: 0.2545
Step 29000, Loss: 0.2494
Step 30000, Loss: 0.1928
