Total parameters: 3020
torch.sum(mse).item()=34724.1171875
Step 0, Loss: 3.6552
Step 1000, Loss: 0.6584
Step 2000, Loss: 0.4286
Step 3000, Loss: 0.2408
Step 4000, Loss: 0.2356
Step 5000, Loss: 0.1887
Step 6000, Loss: 0.2376
Step 7000, Loss: 0.1970
Step 8000, Loss: 0.1909
Step 9000, Loss: 0.1756
Step 10000, Loss: 0.1086
Step 11000, Loss: 0.1600
Step 12000, Loss: 0.1875
Step 13000, Loss: 0.1190
Step 14000, Loss: 0.1786
Step 15000, Loss: 0.1875
Step 16000, Loss: 0.2414
Step 17000, Loss: 0.1358
Step 18000, Loss: 0.1191
Step 19000, Loss: 0.1238
Step 20000, Loss: 0.1366
Step 21000, Loss: 0.1094
Step 22000, Loss: 0.1345
Step 23000, Loss: 0.0575
Step 24000, Loss: 0.1025
Step 25000, Loss: 0.1418
Step 26000, Loss: 0.1800
Step 27000, Loss: 0.1070
Step 28000, Loss: 0.1142
Step 29000, Loss: 0.1067
Step 30000, Loss: 0.1233
