Total parameters: 3020
torch.sum(mse).item()=35094.125
Step 0, Loss: 3.6942
Step 1000, Loss: 1.1614
Step 2000, Loss: 0.4432
Step 3000, Loss: 0.2311
Step 4000, Loss: 0.2779
Step 5000, Loss: 0.2710
Step 6000, Loss: 0.1895
Step 7000, Loss: 0.2223
Step 8000, Loss: 0.2113
Step 9000, Loss: 0.2361
Step 10000, Loss: 0.1496
Step 11000, Loss: 0.1617
Step 12000, Loss: 0.1905
Step 13000, Loss: 0.1237
Step 14000, Loss: 0.1522
Step 15000, Loss: 0.1572
Step 16000, Loss: 0.1867
Step 17000, Loss: 0.1510
Step 18000, Loss: 0.2092
Step 19000, Loss: 0.1240
Step 20000, Loss: 0.1527
Step 21000, Loss: 0.1327
Step 22000, Loss: 0.0976
Step 23000, Loss: 0.1053
Step 24000, Loss: 0.1081
Step 25000, Loss: 0.0831
Step 26000, Loss: 0.0926
Step 27000, Loss: 0.1181
Step 28000, Loss: 0.1178
Step 29000, Loss: 0.1030
Step 30000, Loss: 0.1097
