Total parameters: 3268
torch.sum(mse).item()=27970.423828125
Step 0, Loss: 2.9435
Step 1000, Loss: 0.4856
Step 2000, Loss: 0.3005
Step 3000, Loss: 0.2171
Step 4000, Loss: 0.2824
Step 5000, Loss: 0.3481
Step 6000, Loss: 0.1896
Step 7000, Loss: 0.1262
Step 8000, Loss: 0.2062
Step 9000, Loss: 0.1848
Step 10000, Loss: 0.1618
Step 11000, Loss: 0.2028
Step 12000, Loss: 0.1740
Step 13000, Loss: 0.1362
Step 14000, Loss: 0.1650
Step 15000, Loss: 0.1267
Step 16000, Loss: 0.1342
Step 17000, Loss: 0.1638
Step 18000, Loss: 0.1122
Step 19000, Loss: 0.1091
Step 20000, Loss: 0.1508
Step 21000, Loss: 0.1895
Step 22000, Loss: 0.1932
Step 23000, Loss: 0.2322
Step 24000, Loss: 0.1562
Step 25000, Loss: 0.1410
Step 26000, Loss: 0.1761
Step 27000, Loss: 0.1625
Step 28000, Loss: 0.1935
Step 29000, Loss: 0.2103
Step 30000, Loss: 0.1291
