Total parameters: 4148
torch.sum(mse).item()=39773.94921875
Step 0, Loss: 4.1857
Step 1000, Loss: 0.1597
Step 2000, Loss: 0.1596
Step 3000, Loss: 0.1105
Step 4000, Loss: 0.1768
Step 5000, Loss: 0.2301
Step 6000, Loss: 0.1227
Step 7000, Loss: 0.1434
Step 8000, Loss: 0.2098
Step 9000, Loss: 0.1265
Step 10000, Loss: 0.1831
Step 11000, Loss: 0.1555
Step 12000, Loss: 0.1738
Step 13000, Loss: 0.0574
Step 14000, Loss: 0.0923
Step 15000, Loss: 0.1346
Step 16000, Loss: 0.1089
Step 17000, Loss: 0.0597
Step 18000, Loss: 0.1163
Step 19000, Loss: 0.0617
Step 20000, Loss: 0.1326
Step 21000, Loss: 0.1239
Step 22000, Loss: 0.0851
Step 23000, Loss: 0.0778
Step 24000, Loss: 0.0503
Step 25000, Loss: 0.0590
Step 26000, Loss: 0.0480
Step 27000, Loss: 0.0424
Step 28000, Loss: 0.0457
Step 29000, Loss: 0.0346
Step 30000, Loss: 0.0541
