Total parameters: 900
torch.sum(mse).item()=38033.22265625
Step 0, Loss: 4.0035
Step 1000, Loss: 2.0727
Step 2000, Loss: 1.6936
Step 3000, Loss: 1.1277
Step 4000, Loss: 1.1753
Step 5000, Loss: 0.4203
Step 6000, Loss: 0.6776
Step 7000, Loss: 0.7031
Step 8000, Loss: 0.2817
Step 9000, Loss: 0.5722
Step 10000, Loss: 0.2635
Step 11000, Loss: 0.2819
Step 12000, Loss: 0.2131
Step 13000, Loss: 0.3190
Step 14000, Loss: 0.3263
Step 15000, Loss: 0.2474
Step 16000, Loss: 0.2240
Step 17000, Loss: 0.2094
Step 18000, Loss: 0.1903
Step 19000, Loss: 0.1866
Step 20000, Loss: 0.1475
Step 21000, Loss: 0.2390
Step 22000, Loss: 0.2132
Step 23000, Loss: 0.1406
Step 24000, Loss: 0.2305
Step 25000, Loss: 0.1959
Step 26000, Loss: 0.1897
Step 27000, Loss: 0.1706
Step 28000, Loss: 0.1754
Step 29000, Loss: 0.1316
Step 30000, Loss: 0.1741
