Total parameters: 1148
torch.sum(mse).item()=37956.2109375
Step 0, Loss: 3.9954
Step 1000, Loss: 0.3145
Step 2000, Loss: 0.2312
Step 3000, Loss: 0.1829
Step 4000, Loss: 0.2919
Step 5000, Loss: 0.2337
Step 6000, Loss: 0.2195
Step 7000, Loss: 0.1976
Step 8000, Loss: 0.2404
Step 9000, Loss: 0.1321
Step 10000, Loss: 0.2243
Step 11000, Loss: 0.2292
Step 12000, Loss: 0.1518
Step 13000, Loss: 0.1260
Step 14000, Loss: 0.1293
Step 15000, Loss: 0.1808
Step 16000, Loss: 0.1699
Step 17000, Loss: 0.1784
Step 18000, Loss: 0.1297
Step 19000, Loss: 0.2483
Step 20000, Loss: 0.1344
Step 21000, Loss: 0.1385
Step 22000, Loss: 0.1292
Step 23000, Loss: 0.1710
Step 24000, Loss: 0.0936
Step 25000, Loss: 0.1058
Step 26000, Loss: 0.1362
Step 27000, Loss: 0.2433
Step 28000, Loss: 0.1119
Step 29000, Loss: 0.0985
Step 30000, Loss: 0.1194
