Total parameters: 2196
torch.sum(mse).item()=37113.90625
Step 0, Loss: 3.9067
Step 1000, Loss: 0.6862
Step 2000, Loss: 0.2377
Step 3000, Loss: 0.1756
Step 4000, Loss: 0.1194
Step 5000, Loss: 0.0908
Step 6000, Loss: 0.1178
Step 7000, Loss: 0.0828
Step 8000, Loss: 0.0831
Step 9000, Loss: 0.0542
Step 10000, Loss: 0.1042
Step 11000, Loss: 0.0627
Step 12000, Loss: 0.0769
Step 13000, Loss: 0.2252
Step 14000, Loss: 0.0724
Step 15000, Loss: 0.0924
Step 16000, Loss: 0.0683
Step 17000, Loss: 0.0812
Step 18000, Loss: 0.0861
Step 19000, Loss: 0.0563
Step 20000, Loss: 0.0808
Step 21000, Loss: 0.0588
Step 22000, Loss: 0.0626
Step 23000, Loss: 0.0630
Step 24000, Loss: 0.0308
Step 25000, Loss: 0.0589
Step 26000, Loss: 0.0385
Step 27000, Loss: 0.0761
Step 28000, Loss: 0.0430
Step 29000, Loss: 0.0855
Step 30000, Loss: 0.0632
