Total parameters: 2196
torch.sum(mse).item()=35675.58203125
Step 0, Loss: 3.7556
Step 1000, Loss: 0.4367
Step 2000, Loss: 0.3165
Step 3000, Loss: 0.2453
Step 4000, Loss: 0.2065
Step 5000, Loss: 0.1492
Step 6000, Loss: 0.1120
Step 7000, Loss: 0.0838
Step 8000, Loss: 0.0697
Step 9000, Loss: 0.0756
Step 10000, Loss: 0.0969
Step 11000, Loss: 0.0630
Step 12000, Loss: 0.0624
Step 13000, Loss: 0.1744
Step 14000, Loss: 0.0738
Step 15000, Loss: 0.1065
Step 16000, Loss: 0.0614
Step 17000, Loss: 0.1256
Step 18000, Loss: 0.0971
Step 19000, Loss: 0.0789
Step 20000, Loss: 0.1158
Step 21000, Loss: 0.0690
Step 22000, Loss: 0.0646
Step 23000, Loss: 0.0647
Step 24000, Loss: 0.0924
Step 25000, Loss: 0.2423
Step 26000, Loss: 0.1243
Step 27000, Loss: 0.1084
Step 28000, Loss: 0.0557
Step 29000, Loss: 0.0724
Step 30000, Loss: 0.1279
