Total parameters: 3268
torch.sum(mse).item()=34237.6328125
Step 0, Loss: 3.6039
Step 1000, Loss: 0.3848
Step 2000, Loss: 0.3482
Step 3000, Loss: 0.1623
Step 4000, Loss: 0.2244
Step 5000, Loss: 0.1604
Step 6000, Loss: 0.1805
Step 7000, Loss: 0.1851
Step 8000, Loss: 0.1245
Step 9000, Loss: 0.1678
Step 10000, Loss: 0.1401
Step 11000, Loss: 0.1218
Step 12000, Loss: 0.1794
Step 13000, Loss: 0.1072
Step 14000, Loss: 0.1241
Step 15000, Loss: 0.1070
Step 16000, Loss: 0.0914
Step 17000, Loss: 0.0760
Step 18000, Loss: 0.0894
Step 19000, Loss: 0.0725
Step 20000, Loss: 0.0717
Step 21000, Loss: 0.0498
Step 22000, Loss: 0.0571
Step 23000, Loss: 0.0615
Step 24000, Loss: 0.0742
Step 25000, Loss: 0.0864
Step 26000, Loss: 0.0833
Step 27000, Loss: 0.0599
Step 28000, Loss: 0.0518
Step 29000, Loss: 0.0549
Step 30000, Loss: 0.0699
