Total parameters: 2196
torch.sum(mse).item()=38135.11328125
Step 0, Loss: 4.0142
Step 1000, Loss: 2.7162
Step 2000, Loss: 0.5596
Step 3000, Loss: 0.3592
Step 4000, Loss: 0.4070
Step 5000, Loss: 0.2401
Step 6000, Loss: 0.3099
Step 7000, Loss: 0.1640
Step 8000, Loss: 0.2475
Step 9000, Loss: 0.1155
Step 10000, Loss: 0.3050
Step 11000, Loss: 0.1622
Step 12000, Loss: 0.2210
Step 13000, Loss: 0.4964
Step 14000, Loss: 0.1645
Step 15000, Loss: 0.1828
Step 16000, Loss: 0.1992
Step 17000, Loss: 0.1427
Step 18000, Loss: 0.1788
Step 19000, Loss: 0.1259
Step 20000, Loss: 0.1012
Step 21000, Loss: 0.0606
Step 22000, Loss: 0.0545
Step 23000, Loss: 0.0621
Step 24000, Loss: 0.0727
Step 25000, Loss: 0.0733
Step 26000, Loss: 0.0540
Step 27000, Loss: 0.0694
Step 28000, Loss: 0.0447
Step 29000, Loss: 0.0790
Step 30000, Loss: 0.0710
