Total parameters: 4148
torch.sum(mse).item()=26114.716796875
Step 0, Loss: 2.7488
Step 1000, Loss: 0.1361
Step 2000, Loss: 0.1727
Step 3000, Loss: 0.1271
Step 4000, Loss: 0.1386
Step 5000, Loss: 0.1881
Step 6000, Loss: 0.1524
Step 7000, Loss: 0.1517
Step 8000, Loss: 0.1315
Step 9000, Loss: 0.1177
Step 10000, Loss: 0.1127
Step 11000, Loss: 0.1148
Step 12000, Loss: 0.1125
Step 13000, Loss: 0.1100
Step 14000, Loss: 0.1197
Step 15000, Loss: 0.0728
Step 16000, Loss: 0.0909
Step 17000, Loss: 0.0666
Step 18000, Loss: 0.0577
Step 19000, Loss: 0.0411
Step 20000, Loss: 0.0453
Step 21000, Loss: 0.0452
Step 22000, Loss: 0.0479
Step 23000, Loss: 0.0473
Step 24000, Loss: 0.0569
Step 25000, Loss: 0.0483
Step 26000, Loss: 0.0645
Step 27000, Loss: 0.0530
Step 28000, Loss: 0.0559
Step 29000, Loss: 0.0603
Step 30000, Loss: 0.0465
