Total parameters: 1148
torch.sum(mse).item()=39499.85546875
Step 0, Loss: 4.1580
Step 1000, Loss: 1.5950
Step 2000, Loss: 0.8551
Step 3000, Loss: 0.2217
Step 4000, Loss: 0.1842
Step 5000, Loss: 0.3938
Step 6000, Loss: 0.1790
Step 7000, Loss: 0.1298
Step 8000, Loss: 0.1574
Step 9000, Loss: 0.0808
Step 10000, Loss: 0.1086
Step 11000, Loss: 0.1184
Step 12000, Loss: 0.0800
Step 13000, Loss: 0.0575
Step 14000, Loss: 0.0531
Step 15000, Loss: 0.0769
Step 16000, Loss: 0.0586
Step 17000, Loss: 0.0765
Step 18000, Loss: 0.0885
Step 19000, Loss: 0.0813
Step 20000, Loss: 0.0374
Step 21000, Loss: 0.0531
Step 22000, Loss: 0.0684
Step 23000, Loss: 0.0557
Step 24000, Loss: 0.0592
Step 25000, Loss: 0.0752
Step 26000, Loss: 0.0813
Step 27000, Loss: 0.0835
Step 28000, Loss: 0.0716
Step 29000, Loss: 0.0600
Step 30000, Loss: 0.0618
