Total parameters: 2028
torch.sum(mse).item()=39329.265625
Step 0, Loss: 4.1402
Step 1000, Loss: 0.1722
Step 2000, Loss: 0.1370
Step 3000, Loss: 0.1699
Step 4000, Loss: 0.1256
Step 5000, Loss: 0.0834
Step 6000, Loss: 0.0592
Step 7000, Loss: 0.0574
Step 8000, Loss: 0.0576
Step 9000, Loss: 0.0733
Step 10000, Loss: 0.0437
Step 11000, Loss: 0.0676
Step 12000, Loss: 0.0477
Step 13000, Loss: 0.0764
Step 14000, Loss: 0.1427
Step 15000, Loss: 0.0591
Step 16000, Loss: 0.0682
Step 17000, Loss: 0.0575
Step 18000, Loss: 0.0366
Step 19000, Loss: 0.0462
Step 20000, Loss: 0.0532
Step 21000, Loss: 0.0855
Step 22000, Loss: 0.0624
Step 23000, Loss: 0.0464
Step 24000, Loss: 0.0482
Step 25000, Loss: 0.1726
Step 26000, Loss: 0.0406
Step 27000, Loss: 0.0665
Step 28000, Loss: 0.0870
Step 29000, Loss: 0.0332
Step 30000, Loss: 0.0482
