Total parameters: 592
torch.sum(mse).item()=40117.50390625
Step 0, Loss: 4.2227
Step 1000, Loss: 3.4320
Step 2000, Loss: 3.8569
Step 3000, Loss: 2.9405
Step 4000, Loss: 0.9657
Step 5000, Loss: 0.4108
Step 6000, Loss: 0.4470
Step 7000, Loss: 0.1876
Step 8000, Loss: 0.2296
Step 9000, Loss: 0.1553
Step 10000, Loss: 0.3782
Step 11000, Loss: 0.2547
Step 12000, Loss: 0.1618
Step 13000, Loss: 0.0947
Step 14000, Loss: 0.0945
Step 15000, Loss: 0.1591
Step 16000, Loss: 0.1225
Step 17000, Loss: 0.0778
Step 18000, Loss: 0.0850
Step 19000, Loss: 0.1656
Step 20000, Loss: 0.0587
Step 21000, Loss: 0.0971
Step 22000, Loss: 0.1326
Step 23000, Loss: 0.1120
Step 24000, Loss: 0.0729
Step 25000, Loss: 0.1104
Step 26000, Loss: 0.1379
Step 27000, Loss: 0.1736
Step 28000, Loss: 0.0871
Step 29000, Loss: 0.0986
Step 30000, Loss: 0.1300
