Total parameters: 1472
torch.sum(mse).item()=51082.95703125
Step 0, Loss: 5.3762
Step 1000, Loss: 0.8897
Step 2000, Loss: 0.2933
Step 3000, Loss: 0.2922
Step 4000, Loss: 0.1870
Step 5000, Loss: 0.1463
Step 6000, Loss: 0.1089
Step 7000, Loss: 0.0649
Step 8000, Loss: 0.0601
Step 9000, Loss: 0.0834
Step 10000, Loss: 0.0770
Step 11000, Loss: 0.1191
Step 12000, Loss: 0.1091
Step 13000, Loss: 0.0470
Step 14000, Loss: 0.0411
Step 15000, Loss: 0.0568
Step 16000, Loss: 0.0554
Step 17000, Loss: 0.0658
Step 18000, Loss: 0.0666
Step 19000, Loss: 0.0804
Step 20000, Loss: 0.0781
Step 21000, Loss: 0.0507
Step 22000, Loss: 0.0723
Step 23000, Loss: 0.0305
Step 24000, Loss: 0.0800
Step 25000, Loss: 0.0326
Step 26000, Loss: 0.0545
Step 27000, Loss: 0.0675
Step 28000, Loss: 0.0856
Step 29000, Loss: 0.0883
Step 30000, Loss: 0.0567
