Total parameters: 3243
torch.sum(mse).item()=35062.76953125
Step 0, Loss: 3.6908
Step 1000, Loss: 0.8352
Step 2000, Loss: 0.5000
Step 3000, Loss: 0.2695
Step 4000, Loss: 0.2125
Step 5000, Loss: 0.2108
Step 6000, Loss: 0.1997
Step 7000, Loss: 0.2071
Step 8000, Loss: 0.2020
Step 9000, Loss: 0.2474
Step 10000, Loss: 0.1094
Step 11000, Loss: 0.1772
Step 12000, Loss: 0.1830
Step 13000, Loss: 0.0895
Step 14000, Loss: 0.1268
Step 15000, Loss: 0.1045
Step 16000, Loss: 0.0808
Step 17000, Loss: 0.0588
Step 18000, Loss: 0.0416
Step 19000, Loss: 0.0569
Step 20000, Loss: 0.1346
Step 21000, Loss: 0.0486
Step 22000, Loss: 0.0952
Step 23000, Loss: 0.0824
Step 24000, Loss: 0.0573
Step 25000, Loss: 0.1476
Step 26000, Loss: 0.1141
Step 27000, Loss: 0.0939
Step 28000, Loss: 0.0701
Step 29000, Loss: 0.0701
Step 30000, Loss: 0.0514
