Total parameters: 4107
torch.sum(mse).item()=49888.5078125
Step 0, Loss: 5.2513
Step 1000, Loss: 0.5115
Step 2000, Loss: 0.2431
Step 3000, Loss: 0.1259
Step 4000, Loss: 0.1689
Step 5000, Loss: 0.1173
Step 6000, Loss: 0.0978
Step 7000, Loss: 0.0938
Step 8000, Loss: 0.0678
Step 9000, Loss: 0.0741
Step 10000, Loss: 0.0911
Step 11000, Loss: 0.0588
Step 12000, Loss: 0.0376
Step 13000, Loss: 0.0539
Step 14000, Loss: 0.0588
Step 15000, Loss: 0.0569
Step 16000, Loss: 0.0398
Step 17000, Loss: 0.0391
Step 18000, Loss: 0.1062
Step 19000, Loss: 0.0407
Step 20000, Loss: 0.0756
Step 21000, Loss: 0.0467
Step 22000, Loss: 0.0668
Step 23000, Loss: 0.0450
Step 24000, Loss: 0.0410
Step 25000, Loss: 0.0638
Step 26000, Loss: 0.0287
Step 27000, Loss: 0.0585
Step 28000, Loss: 0.0563
Step 29000, Loss: 0.0321
Step 30000, Loss: 0.0658
