Total parameters: 1127
torch.sum(mse).item()=53478.64453125
Step 0, Loss: 5.6288
Step 1000, Loss: 4.1987
Step 2000, Loss: 2.9193
Step 3000, Loss: 1.0312
Step 4000, Loss: 1.0922
Step 5000, Loss: 1.0329
Step 6000, Loss: 0.9357
Step 7000, Loss: 1.2724
Step 8000, Loss: 0.5034
Step 9000, Loss: 0.9802
Step 10000, Loss: 1.0929
Step 11000, Loss: 1.0075
Step 12000, Loss: 0.9674
Step 13000, Loss: 1.0811
Step 14000, Loss: 0.8205
Step 15000, Loss: 0.6738
Step 16000, Loss: 0.6159
Step 17000, Loss: 0.4699
Step 18000, Loss: 0.4001
Step 19000, Loss: 0.4364
Step 20000, Loss: 0.4972
Step 21000, Loss: 0.4682
Step 22000, Loss: 0.3512
Step 23000, Loss: 0.3105
Step 24000, Loss: 0.4251
Step 25000, Loss: 0.2172
Step 26000, Loss: 0.3617
Step 27000, Loss: 0.3523
Step 28000, Loss: 0.3210
Step 29000, Loss: 0.4343
Step 30000, Loss: 0.3956
