Total parameters: 1991
torch.sum(mse).item()=36946.734375
Step 0, Loss: 3.8891
Step 1000, Loss: 4.1715
Step 2000, Loss: 1.7798
Step 3000, Loss: 0.7890
Step 4000, Loss: 0.6204
Step 5000, Loss: 0.8411
Step 6000, Loss: 0.4886
Step 7000, Loss: 0.4929
Step 8000, Loss: 0.3294
Step 9000, Loss: 0.2105
Step 10000, Loss: 0.4119
Step 11000, Loss: 0.3355
Step 12000, Loss: 0.3953
Step 13000, Loss: 0.5113
Step 14000, Loss: 0.2969
Step 15000, Loss: 0.3732
Step 16000, Loss: 0.2617
Step 17000, Loss: 0.4213
Step 18000, Loss: 0.3700
Step 19000, Loss: 0.2945
Step 20000, Loss: 0.4685
Step 21000, Loss: 0.4289
Step 22000, Loss: 0.3403
Step 23000, Loss: 0.3298
Step 24000, Loss: 0.1768
Step 25000, Loss: 0.3147
Step 26000, Loss: 0.3281
Step 27000, Loss: 0.5222
Step 28000, Loss: 0.2692
Step 29000, Loss: 0.5235
Step 30000, Loss: 0.4335
