Total parameters: 4107
torch.sum(mse).item()=38942.2109375
Step 0, Loss: 4.0991
Step 1000, Loss: 0.8985
Step 2000, Loss: 0.2635
Step 3000, Loss: 0.1575
Step 4000, Loss: 0.2597
Step 5000, Loss: 0.1505
Step 6000, Loss: 0.2187
Step 7000, Loss: 0.0764
Step 8000, Loss: 0.1315
Step 9000, Loss: 0.0364
Step 10000, Loss: 0.0532
Step 11000, Loss: 0.0541
Step 12000, Loss: 0.0550
Step 13000, Loss: 0.6978
Step 14000, Loss: 0.0616
Step 15000, Loss: 0.0711
Step 16000, Loss: 0.0414
Step 17000, Loss: 0.0783
Step 18000, Loss: 0.1153
Step 19000, Loss: 0.0709
Step 20000, Loss: 0.0567
Step 21000, Loss: 0.0620
Step 22000, Loss: 0.0424
Step 23000, Loss: 0.0656
Step 24000, Loss: 0.0476
Step 25000, Loss: 0.0400
Step 26000, Loss: 0.0519
Step 27000, Loss: 0.0828
Step 28000, Loss: 0.0226
Step 29000, Loss: 0.0250
Step 30000, Loss: 0.0723
