Total parameters: 573
torch.sum(mse).item()=49429.7890625
Step 0, Loss: 5.2033
Step 1000, Loss: 1.8146
Step 2000, Loss: 0.9277
Step 3000, Loss: 0.7173
Step 4000, Loss: 0.6127
Step 5000, Loss: 0.5883
Step 6000, Loss: 0.4078
Step 7000, Loss: 0.3709
Step 8000, Loss: 0.2090
Step 9000, Loss: 0.1782
Step 10000, Loss: 0.1808
Step 11000, Loss: 0.1236
Step 12000, Loss: 0.0993
Step 13000, Loss: 0.1743
Step 14000, Loss: 0.1275
Step 15000, Loss: 0.1650
Step 16000, Loss: 0.0699
Step 17000, Loss: 0.1122
Step 18000, Loss: 0.1301
Step 19000, Loss: 0.0939
Step 20000, Loss: 0.0594
Step 21000, Loss: 0.1213
Step 22000, Loss: 0.1187
Step 23000, Loss: 0.0936
Step 24000, Loss: 0.1058
Step 25000, Loss: 0.1137
Step 26000, Loss: 0.0868
Step 27000, Loss: 0.0530
Step 28000, Loss: 0.0625
Step 29000, Loss: 0.0643
Step 30000, Loss: 0.0892
