Total parameters: 1437
torch.sum(mse).item()=54420.734375
Step 0, Loss: 5.7270
Step 1000, Loss: 0.5840
Step 2000, Loss: 0.3778
Step 3000, Loss: 0.2017
Step 4000, Loss: 0.2313
Step 5000, Loss: 0.1570
Step 6000, Loss: 0.0856
Step 7000, Loss: 0.0757
Step 8000, Loss: 0.1099
Step 9000, Loss: 0.1064
Step 10000, Loss: 0.0596
Step 11000, Loss: 0.1158
Step 12000, Loss: 0.0727
Step 13000, Loss: 0.0822
Step 14000, Loss: 0.0592
Step 15000, Loss: 0.0974
Step 16000, Loss: 0.0374
Step 17000, Loss: 0.0971
Step 18000, Loss: 0.0788
Step 19000, Loss: 0.0627
Step 20000, Loss: 0.0451
Step 21000, Loss: 0.0419
Step 22000, Loss: 0.0463
Step 23000, Loss: 0.0470
Step 24000, Loss: 0.0374
Step 25000, Loss: 0.0435
Step 26000, Loss: 0.0560
Step 27000, Loss: 0.0310
Step 28000, Loss: 0.0571
Step 29000, Loss: 0.0420
Step 30000, Loss: 0.0769
