Total parameters: 4107
torch.sum(mse).item()=38751.703125
Step 0, Loss: 4.0792
Step 1000, Loss: 0.7429
Step 2000, Loss: 0.2538
Step 3000, Loss: 0.1478
Step 4000, Loss: 0.1011
Step 5000, Loss: 0.0683
Step 6000, Loss: 0.1422
Step 7000, Loss: 0.0699
Step 8000, Loss: 0.0936
Step 9000, Loss: 0.0555
Step 10000, Loss: 0.0901
Step 11000, Loss: 0.0589
Step 12000, Loss: 0.0824
Step 13000, Loss: 0.2313
Step 14000, Loss: 0.0831
Step 15000, Loss: 0.0702
Step 16000, Loss: 0.0662
Step 17000, Loss: 0.1385
Step 18000, Loss: 0.0648
Step 19000, Loss: 0.0851
Step 20000, Loss: 0.1525
Step 21000, Loss: 0.0446
Step 22000, Loss: 0.0562
Step 23000, Loss: 0.0375
Step 24000, Loss: 0.0815
Step 25000, Loss: 0.0768
Step 26000, Loss: 0.0677
Step 27000, Loss: 0.0596
Step 28000, Loss: 0.0490
Step 29000, Loss: 0.0517
Step 30000, Loss: 0.0591
