Total parameters: 4107
torch.sum(mse).item()=35920.87109375
Step 0, Loss: 3.7812
Step 1000, Loss: 0.4845
Step 2000, Loss: 0.2397
Step 3000, Loss: 0.1556
Step 4000, Loss: 0.2375
Step 5000, Loss: 0.1653
Step 6000, Loss: 0.2094
Step 7000, Loss: 0.0979
Step 8000, Loss: 0.0612
Step 9000, Loss: 0.0326
Step 10000, Loss: 0.0679
Step 11000, Loss: 0.0996
Step 12000, Loss: 0.0686
Step 13000, Loss: 0.8107
Step 14000, Loss: 0.0730
Step 15000, Loss: 0.0614
Step 16000, Loss: 0.0828
Step 17000, Loss: 0.1455
Step 18000, Loss: 0.0751
Step 19000, Loss: 0.0453
Step 20000, Loss: 0.0847
Step 21000, Loss: 0.0431
Step 22000, Loss: 0.0277
Step 23000, Loss: 0.0532
Step 24000, Loss: 0.0422
Step 25000, Loss: 0.0488
Step 26000, Loss: 0.0491
Step 27000, Loss: 0.0629
Step 28000, Loss: 0.0510
Step 29000, Loss: 0.0582
Step 30000, Loss: 0.0641
