Total parameters: 333
torch.sum(mse).item()=36103.8984375
Step 0, Loss: 3.8003
Step 1000, Loss: 3.1850
Step 2000, Loss: 2.2617
Step 3000, Loss: 1.2492
Step 4000, Loss: 0.8751
Step 5000, Loss: 1.0079
Step 6000, Loss: 0.8256
Step 7000, Loss: 0.7087
Step 8000, Loss: 0.7297
Step 9000, Loss: 0.9179
Step 10000, Loss: 0.6426
Step 11000, Loss: 0.7889
Step 12000, Loss: 0.5790
Step 13000, Loss: 0.2712
Step 14000, Loss: 0.6852
Step 15000, Loss: 0.5898
Step 16000, Loss: 0.7661
Step 17000, Loss: 0.5495
Step 18000, Loss: 0.5961
Step 19000, Loss: 0.3437
Step 20000, Loss: 0.3410
Step 21000, Loss: 0.3753
Step 22000, Loss: 0.3790
Step 23000, Loss: 0.4509
Step 24000, Loss: 0.3653
Step 25000, Loss: 0.3429
Step 26000, Loss: 0.5280
Step 27000, Loss: 0.4498
Step 28000, Loss: 0.4120
Step 29000, Loss: 0.4386
Step 30000, Loss: 0.2929
