Total parameters: 573
torch.sum(mse).item()=51160.515625
Step 0, Loss: 5.3853
Step 1000, Loss: 2.8233
Step 2000, Loss: 3.3775
Step 3000, Loss: 1.9793
Step 4000, Loss: 2.1429
Step 5000, Loss: 0.9866
Step 6000, Loss: 0.7704
Step 7000, Loss: 0.7267
Step 8000, Loss: 1.2597
Step 9000, Loss: 0.9129
Step 10000, Loss: 1.1857
Step 11000, Loss: 1.1197
Step 12000, Loss: 0.8769
Step 13000, Loss: 0.8746
Step 14000, Loss: 1.0426
Step 15000, Loss: 0.7111
Step 16000, Loss: 0.4920
Step 17000, Loss: 0.6529
Step 18000, Loss: 1.0307
Step 19000, Loss: 0.8668
Step 20000, Loss: 0.6762
Step 21000, Loss: 0.5062
Step 22000, Loss: 0.6240
Step 23000, Loss: 0.6189
Step 24000, Loss: 0.2862
Step 25000, Loss: 0.4353
Step 26000, Loss: 0.3575
Step 27000, Loss: 0.3919
Step 28000, Loss: 0.3396
Step 29000, Loss: 0.3683
Step 30000, Loss: 0.4628
