Total parameters: 1127
torch.sum(mse).item()=34489.859375
torch.sum(mse).item()=34489.671875
Step 0, Loss: 3.6305
Step 1000, Loss: 2.2868
Step 2000, Loss: 0.8098
Step 3000, Loss: 2.4592
Step 4000, Loss: 1.4125
Step 5000, Loss: 1.7831
Step 6000, Loss: 2.9452
Step 7000, Loss: 2.9319
Step 8000, Loss: 1.5948
Step 9000, Loss: 0.3830
Step 10000, Loss: 0.1963
Step 11000, Loss: 0.2802
Step 12000, Loss: 0.1326
Step 13000, Loss: 0.0990
Step 14000, Loss: 0.0645
Step 15000, Loss: 0.1231
Step 16000, Loss: 0.1590
Step 17000, Loss: 0.1003
Step 18000, Loss: 0.2053
Step 19000, Loss: 0.1313
Step 20000, Loss: 0.1288
Step 21000, Loss: 0.0638
Step 22000, Loss: 0.0560
Step 23000, Loss: 0.0469
Step 24000, Loss: 0.0760
Step 25000, Loss: 0.0841
Step 26000, Loss: 0.0595
Step 27000, Loss: 0.0630
Step 28000, Loss: 0.0716
Step 29000, Loss: 0.0692
Step 30000, Loss: 0.0401
