Total parameters: 4230
torch.sum(mse).item()=38989.4296875
torch.sum(mse).item()=38987.375
Step 0, Loss: 4.1043
Step 1000, Loss: 0.3142
Step 2000, Loss: 0.1254
Step 3000, Loss: 0.0668
Step 4000, Loss: 0.0655
Step 5000, Loss: 0.0386
Step 6000, Loss: 0.1953
Step 7000, Loss: 0.1084
Step 8000, Loss: 0.1038
Step 9000, Loss: 0.0461
Step 10000, Loss: 0.2252
Step 11000, Loss: 0.0751
Step 12000, Loss: 0.0678
Step 13000, Loss: 0.2624
Step 14000, Loss: 0.0786
Step 15000, Loss: 0.1279
Step 16000, Loss: 0.0358
Step 17000, Loss: 0.1466
Step 18000, Loss: 0.0844
Step 19000, Loss: 0.0534
Step 20000, Loss: 0.2250
Step 21000, Loss: 0.0523
Step 22000, Loss: 0.0427
Step 23000, Loss: 0.0384
Step 24000, Loss: 0.0454
Step 25000, Loss: 0.0481
Step 26000, Loss: 0.0665
Step 27000, Loss: 0.0496
Step 28000, Loss: 0.0266
Step 29000, Loss: 0.0321
Step 30000, Loss: 0.0892
