Total parameters: 4435
torch.sum(mse).item()=35720.6875
torch.sum(mse).item()=35720.1328125
Step 0, Loss: 3.7600
Step 1000, Loss: 0.2182
Step 2000, Loss: 0.0490
Step 3000, Loss: 0.1698
Step 4000, Loss: 0.2017
Step 5000, Loss: 0.0747
Step 6000, Loss: 0.2941
Step 7000, Loss: 0.1294
Step 8000, Loss: 0.1460
Step 9000, Loss: 0.0534
Step 10000, Loss: 0.2393
Step 11000, Loss: 0.1153
Step 12000, Loss: 0.1064
Step 13000, Loss: 0.3021
Step 14000, Loss: 0.0593
Step 15000, Loss: 0.1915
Step 16000, Loss: 0.0338
Step 17000, Loss: 0.1834
Step 18000, Loss: 0.0995
Step 19000, Loss: 0.0534
Step 20000, Loss: 0.1599
Step 21000, Loss: 0.0385
Step 22000, Loss: 0.0628
Step 23000, Loss: 0.0322
Step 24000, Loss: 0.0645
Step 25000, Loss: 0.1462
Step 26000, Loss: 0.0753
Step 27000, Loss: 0.0740
Step 28000, Loss: 0.0470
Step 29000, Loss: 0.0504
Step 30000, Loss: 0.1326
