Total parameters: 4066
torch.sum(mse).item()=36882.4921875
torch.sum(mse).item()=36880.9609375
Step 0, Loss: 3.8822
Step 1000, Loss: 1.0412
Step 2000, Loss: 0.4618
Step 3000, Loss: 0.6972
Step 4000, Loss: 0.2950
Step 5000, Loss: 0.6367
Step 6000, Loss: 0.3503
Step 7000, Loss: 0.7509
Step 8000, Loss: 0.6662
Step 9000, Loss: 0.5445
Step 10000, Loss: 0.8195
Step 11000, Loss: 0.4482
Step 12000, Loss: 0.6358
Step 13000, Loss: 0.9087
Step 14000, Loss: 1.0343
Step 15000, Loss: 0.4590
Step 16000, Loss: 0.4002
Step 17000, Loss: 0.5456
Step 18000, Loss: 0.6609
Step 19000, Loss: 0.8238
Step 20000, Loss: 0.2986
Step 21000, Loss: 0.4569
Step 22000, Loss: 0.4924
Step 23000, Loss: 1.0246
Step 24000, Loss: 1.2404
Step 25000, Loss: 0.7082
Step 26000, Loss: 0.9397
Step 27000, Loss: 1.4042
Step 28000, Loss: 1.1895
Step 29000, Loss: 0.7536
Step 30000, Loss: 0.8175
