Total parameters: 2393
torch.sum(mse).item()=50092.33203125
Step 0, Loss: 2.6365
Step 1000, Loss: 1.4982
Step 2000, Loss: 0.2085
Step 3000, Loss: 0.1630
Step 4000, Loss: 0.1855
Step 5000, Loss: 0.1089
Step 6000, Loss: 0.1676
Step 7000, Loss: 0.1238
Step 8000, Loss: 0.1035
Step 9000, Loss: 0.0946
Step 10000, Loss: 0.0867
Step 11000, Loss: 0.0837
Step 12000, Loss: 0.0460
Step 13000, Loss: 0.0503
Step 14000, Loss: 0.0574
Step 15000, Loss: 0.0489
Step 16000, Loss: 0.0679
Step 17000, Loss: 0.0905
Step 18000, Loss: 0.0790
Step 19000, Loss: 0.0353
Step 20000, Loss: 0.0862
Step 21000, Loss: 0.0315
Step 22000, Loss: 0.0462
Step 23000, Loss: 0.0362
Step 24000, Loss: 0.0369
Step 25000, Loss: 0.0370
Step 26000, Loss: 0.0462
Step 27000, Loss: 0.0861
Step 28000, Loss: 0.0362
Step 29000, Loss: 0.0862
Step 30000, Loss: 0.0424
