Total parameters: 2427
torch.sum(mse).item()=34300.0078125
torch.sum(mse).item()=34299.90625
Step 0, Loss: 1.8061
Step 1000, Loss: 0.7810
Step 2000, Loss: 0.3415
Step 3000, Loss: 0.1400
Step 4000, Loss: 0.0717
Step 5000, Loss: 0.0557
Step 6000, Loss: 0.1158
Step 7000, Loss: 0.0874
Step 8000, Loss: 0.0927
Step 9000, Loss: 0.1833
Step 10000, Loss: 0.0843
Step 11000, Loss: 0.1087
Step 12000, Loss: 0.0354
Step 13000, Loss: 0.0963
Step 14000, Loss: 0.0424
Step 15000, Loss: 0.0652
Step 16000, Loss: 0.0582
Step 17000, Loss: 0.1467
Step 18000, Loss: 0.0952
Step 19000, Loss: 0.0989
Step 20000, Loss: 0.0476
Step 21000, Loss: 0.2485
Step 22000, Loss: 0.0635
Step 23000, Loss: 0.1445
Step 24000, Loss: 0.1189
Step 25000, Loss: 0.1325
Step 26000, Loss: 0.1511
Step 27000, Loss: 0.0500
Step 28000, Loss: 0.0686
Step 29000, Loss: 0.0769
Step 30000, Loss: 0.0359
