Total parameters: 2427
torch.sum(mse).item()=50521.3671875
torch.sum(mse).item()=50521.19921875
Step 0, Loss: 2.6614
Step 1000, Loss: 1.4022
Step 2000, Loss: 0.2253
Step 3000, Loss: 0.1375
Step 4000, Loss: 0.1248
Step 5000, Loss: 0.0563
Step 6000, Loss: 0.0542
Step 7000, Loss: 0.0700
Step 8000, Loss: 0.0553
Step 9000, Loss: 0.0625
Step 10000, Loss: 0.1370
Step 11000, Loss: 0.1165
Step 12000, Loss: 0.0965
Step 13000, Loss: 0.1196
Step 14000, Loss: 0.1149
Step 15000, Loss: 0.0342
Step 16000, Loss: 0.1338
Step 17000, Loss: 0.1223
Step 18000, Loss: 0.0970
Step 19000, Loss: 0.0315
Step 20000, Loss: 0.0391
Step 21000, Loss: 0.0519
Step 22000, Loss: 0.0501
Step 23000, Loss: 0.0495
Step 24000, Loss: 0.0424
Step 25000, Loss: 0.1064
Step 26000, Loss: 0.0748
Step 27000, Loss: 0.0675
Step 28000, Loss: 0.0496
Step 29000, Loss: 0.0835
Step 30000, Loss: 0.0626
