Total parameters: 2427
torch.sum(mse).item()=40908.25390625
torch.sum(mse).item()=40908.140625
Step 0, Loss: 2.1547
Step 1000, Loss: 1.6490
Step 2000, Loss: 0.1985
Step 3000, Loss: 0.1035
Step 4000, Loss: 0.0547
Step 5000, Loss: 0.0503
Step 6000, Loss: 0.0804
Step 7000, Loss: 0.1860
Step 8000, Loss: 0.0412
Step 9000, Loss: 0.0930
Step 10000, Loss: 0.0469
Step 11000, Loss: 0.1024
Step 12000, Loss: 0.0788
Step 13000, Loss: 0.0607
Step 14000, Loss: 0.1146
Step 15000, Loss: 0.0553
Step 16000, Loss: 0.0701
Step 17000, Loss: 0.1358
Step 18000, Loss: 0.1191
Step 19000, Loss: 0.0616
Step 20000, Loss: 0.1002
Step 21000, Loss: 0.1392
Step 22000, Loss: 0.0538
Step 23000, Loss: 0.0539
Step 24000, Loss: 0.1364
Step 25000, Loss: 0.0563
Step 26000, Loss: 0.0960
Step 27000, Loss: 0.0594
Step 28000, Loss: 0.0318
Step 29000, Loss: 0.0800
Step 30000, Loss: 0.0919
