Total parameters: 3091
torch.sum(mse).item()=39040.8125
torch.sum(mse).item()=39040.33984375
Step 0, Loss: 4.1095
Step 1000, Loss: 0.2111
Step 2000, Loss: 0.0776
Step 3000, Loss: 0.0482
Step 4000, Loss: 0.0741
Step 5000, Loss: 0.1119
Step 6000, Loss: 0.5511
Step 7000, Loss: 0.1105
Step 8000, Loss: 0.2661
Step 9000, Loss: 0.0499
Step 10000, Loss: 0.1229
Step 11000, Loss: 0.1033
Step 12000, Loss: 0.0737
Step 13000, Loss: 0.3283
Step 14000, Loss: 0.0645
Step 15000, Loss: 0.1361
Step 16000, Loss: 0.0449
Step 17000, Loss: 0.1141
Step 18000, Loss: 0.0840
Step 19000, Loss: 0.1083
Step 20000, Loss: 0.0661
Step 21000, Loss: 0.0389
Step 22000, Loss: 0.0740
Step 23000, Loss: 0.0478
Step 24000, Loss: 0.1420
Step 25000, Loss: 0.0482
Step 26000, Loss: 0.0514
Step 27000, Loss: 0.0531
Step 28000, Loss: 0.0283
Step 29000, Loss: 0.1128
Step 30000, Loss: 0.1247
