Total parameters: 2722
torch.sum(mse).item()=34894.859375
torch.sum(mse).item()=34894.6875
Step 0, Loss: 3.6731
Step 1000, Loss: 2.7673
Step 2000, Loss: 1.4637
Step 3000, Loss: 0.8891
Step 4000, Loss: 0.9119
Step 5000, Loss: 0.6632
Step 6000, Loss: 1.0698
Step 7000, Loss: 0.6535
Step 8000, Loss: 0.6215
Step 9000, Loss: 0.8310
Step 10000, Loss: 0.8135
Step 11000, Loss: 0.5685
Step 12000, Loss: 0.5441
Step 13000, Loss: 0.5588
Step 14000, Loss: 0.4424
Step 15000, Loss: 0.5630
Step 16000, Loss: 0.3090
Step 17000, Loss: 0.7325
Step 18000, Loss: 0.5365
Step 19000, Loss: 0.6695
Step 20000, Loss: 0.5528
Step 21000, Loss: 0.5489
Step 22000, Loss: 0.5576
Step 23000, Loss: 0.6730
Step 24000, Loss: 0.4149
Step 25000, Loss: 0.7308
Step 26000, Loss: 0.4214
Step 27000, Loss: 1.0882
Step 28000, Loss: 0.6085
Step 29000, Loss: 1.5095
Step 30000, Loss: 0.5934
