Total parameters: 2053
torch.sum(mse).item()=30866.6484375
torch.sum(mse).item()=30865.76953125
Step 0, Loss: 1.6338
Step 1000, Loss: 1.1724
Step 2000, Loss: 0.4700
Step 3000, Loss: 0.2490
Step 4000, Loss: 0.2062
Step 5000, Loss: 0.1376
Step 6000, Loss: 0.0522
Step 7000, Loss: 0.0441
Step 8000, Loss: 0.0471
Step 9000, Loss: 0.0479
Step 10000, Loss: 0.0671
Step 11000, Loss: 0.0356
Step 12000, Loss: 0.0997
Step 13000, Loss: 0.1157
Step 14000, Loss: 0.0813
Step 15000, Loss: 0.0551
Step 16000, Loss: 0.0857
Step 17000, Loss: 0.0384
Step 18000, Loss: 0.0493
Step 19000, Loss: 0.0367
Step 20000, Loss: 0.1406
Step 21000, Loss: 0.0566
Step 22000, Loss: 0.0620
Step 23000, Loss: 0.0624
Step 24000, Loss: 0.0580
Step 25000, Loss: 0.1211
Step 26000, Loss: 0.0553
Step 27000, Loss: 0.0626
Step 28000, Loss: 0.0940
Step 29000, Loss: 0.0576
Step 30000, Loss: 0.1167
