Total parameters: 1974
torch.sum(mse).item()=34755.3515625
torch.sum(mse).item()=34754.171875
Step 0, Loss: 3.6583
Step 1000, Loss: 1.3899
Step 2000, Loss: 0.3076
Step 3000, Loss: 0.2478
Step 4000, Loss: 0.2608
Step 5000, Loss: 0.1508
Step 6000, Loss: 0.1487
Step 7000, Loss: 0.0877
Step 8000, Loss: 0.0964
Step 9000, Loss: 0.0638
Step 10000, Loss: 0.1177
Step 11000, Loss: 0.0658
Step 12000, Loss: 0.1712
Step 13000, Loss: 0.3820
Step 14000, Loss: 0.0877
Step 15000, Loss: 0.1038
Step 16000, Loss: 0.0717
Step 17000, Loss: 0.2087
Step 18000, Loss: 0.1697
Step 19000, Loss: 0.0848
Step 20000, Loss: 0.2213
Step 21000, Loss: 0.1132
Step 22000, Loss: 0.0898
Step 23000, Loss: 0.0835
Step 24000, Loss: 0.1105
Step 25000, Loss: 0.1224
Step 26000, Loss: 0.1424
Step 27000, Loss: 0.1560
Step 28000, Loss: 0.0434
Step 29000, Loss: 0.1166
Step 30000, Loss: 0.2138
