Total parameters: 2154
torch.sum(mse).item()=36690.87109375
torch.sum(mse).item()=36690.68359375
Step 0, Loss: 3.8622
Step 1000, Loss: 0.9418
Step 2000, Loss: 0.2434
Step 3000, Loss: 0.2176
Step 4000, Loss: 0.1180
Step 5000, Loss: 0.0711
Step 6000, Loss: 0.1968
Step 7000, Loss: 0.1421
Step 8000, Loss: 0.1966
Step 9000, Loss: 0.0608
Step 10000, Loss: 0.1188
Step 11000, Loss: 0.1064
Step 12000, Loss: 0.1008
Step 13000, Loss: 0.2957
Step 14000, Loss: 0.1266
Step 15000, Loss: 0.1153
Step 16000, Loss: 0.0522
Step 17000, Loss: 0.2997
Step 18000, Loss: 0.0827
Step 19000, Loss: 0.0881
Step 20000, Loss: 0.1611
Step 21000, Loss: 0.0680
Step 22000, Loss: 0.0546
Step 23000, Loss: 0.0561
Step 24000, Loss: 0.0770
Step 25000, Loss: 0.0923
Step 26000, Loss: 0.1401
Step 27000, Loss: 0.0809
Step 28000, Loss: 0.0657
Step 29000, Loss: 0.0886
Step 30000, Loss: 0.1623
